id,name,artist_name_slug,printed_aliases,tags,links,source_notes
c44421c4-3949-4a87-a4c4-221b59912753,Edward Beard Jr.,edward-beard-jr-,[],[],"{""Official Website"": ""https://www.edbeardjr.com/"", ""Other"": ""[\u0022https://whitewolf.fandom.com/wiki/Edward_Beard,_Jr.\u0022]""}",{}
6db48a0e-3ed8-4ef9-9907-5c6c82c8bcf3,Steve Casper,steve-casper,[],[],{},{}
8a2d9ca1-7019-4384-a1a1-0cd89e71051f,Joshua Gabriel Timbrook,joshua-gabriel-timbrook,[],[],{},{}
83b2d5f7-775d-4388-a04c-cb0df3253db1,Barb Armata,barb-armata,[],[],{},{}
e0c50087-977b-4419-8924-1a4ec94d8299,William O'Connor,william-o-connor,[],[],{},{}
4e22de8f-bc49-45d8-8395-ec4dd8314841,Gong Studios,gong-studios,[],[],{},{}
